index,text
19,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:We used this product, the weathered quartz stone, as an accent wall in a guest powder room in our home, which is rarely used. The walls were painted drywall, very clean and dry. I watched all the installation videos and, therefore, used the recommended interior primer on the wall, despite them being clean and dry. I installed the tiles the next day with little difficulty and the wall, initially, looked very nice. Over the next couple of days, the tiles all began to loosen. After several days of pushing the tiles back into place, I gave up and reinstalled the loosened tiles (probably 30-40% of the total tiles) with adhesive. This was labor intensive and I'm still not sure the remaining tiles will stay in place.I would use this product again, but don't listen to the manufacturer. Just use adhesive on all the tiles."
20,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:We just put this up a week ago and I'm already disappointed with it. I was looking for something that was rustic and would look good with my gray walls and black appliances so I chose this slate, peel and stick backsplash. It did go up easily. It took less than an hour to put up, closer to 30 minutes. I think the colors are lighter than I was expecting - I have hoping for more a mix between light and dark, ours is mostly just a few different shades of gray. I ordered 18 packages and found each one to be very similiar, only one or two had a nice mix of black and red. What I am most upset about though is how easily this stuff stains. Last night we had ribs out of the crock pot and I think when one of my kids rinsed their plate, the grease splashed up and now this ... MoreWe just put this up a week ago and I'm already disappointed with it. I was looking for something that was rustic and would look good with my gray walls and black appliances so I chose this slate, peel and stick backsplash. It did go up easily. It took less than an hour to put up, closer to 30 minutes. I think the colors are lighter than I was expecting - I have hoping for more a mix between light and dark, ours is mostly just a few different shades of gray. I ordered 18 packages and found each one to be very similiar, only one or two had a nice mix of black and red. What I am most upset about though is how easily this stuff stains. Last night we had ribs out of the crock pot and I think when one of my kids rinsed their plate, the grease splashed up and now this backsplash is stained with spots. I have scrubbed it with very, very hot water and I just can't get them off. If I had realized that grease would soak in to this backsplash so easily, I would have chose some thing different. Less"
21,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:We used this product, the weathered quartz stone, as an accent wall in a guest powder room in our home, which is rarely used. The walls were painted drywall, very clean and dry. I watched all the installation videos and, therefore, used the recommended interior primer on the wall, despite them being clean and dry. I installed the tiles the next day with little difficulty and the wall, initially, looked very nice. Over the next couple of days, the tiles all began to loosen. After several days of pushing the tiles back into place, I gave up and reinstalled the loosened tiles (probably 30-40% of the total tiles) with adhesive. This was labor intensive and I'm still not sure the remaining tiles will stay in place.I would use this product again, but don't listen to the ... MoreWe used this product, the weathered quartz stone, as an accent wall in a guest powder room in our home, which is rarely used. The walls were painted drywall, very clean and dry. I watched all the installation videos and, therefore, used the recommended interior primer on the wall, despite them being clean and dry. I installed the tiles the next day with little difficulty and the wall, initially, looked very nice. Over the next couple of days, the tiles all began to loosen. After several days of pushing the tiles back into place, I gave up and reinstalled the loosened tiles (probably 30-40% of the total tiles) with adhesive. This was labor intensive and I'm still not sure the remaining tiles will stay in place.I would use this product again, but don't listen to the manufacturer. Just use adhesive on all the tiles. Less"
22,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:The medley slate is great quality. I did some research before my project and I can honestly say there is nothing else on the market right now that looks and feels like real stone grout. My biggest reserve to the product is that the stick part does not stick. I followed the instructions and they stuck at first, but after a week they started to peel and fall off. Now, I went thru previous reviews and saw the manufacturer has recommended this type of glue to apply. My question is, if your product was made correctly, why should I need glue when it is a peel and stick product? If your stick quality is what it should be for a peel and stick product, I should not need to buy glue. I spent $500 on this product and I would expect that the product should stay stuck properly over time ... MoreThe medley slate is great quality. I did some research before my project and I can honestly say there is nothing else on the market right now that looks and feels like real stone grout. My biggest reserve to the product is that the stick part does not stick. I followed the instructions and they stuck at first, but after a week they started to peel and fall off. Now, I went thru previous reviews and saw the manufacturer has recommended this type of glue to apply. My question is, if your product was made correctly, why should I need glue when it is a peel and stick product? If your stick quality is what it should be for a peel and stick product, I should not need to buy glue. I spent $500 on this product and I would expect that the product should stay stuck properly over time, especially since they started to feel off after 1 week of being put up. To fellow consumers looking at this product, the quality of the stone is superb, and I think second to none on the market. However, if you can find a product that is of similar quality to your liking, I would recommend that product over this one simply because this product does not stay attached to the wall like it should. Less"
23,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Product looks great and was easy to work with. I was completely happy with the quality and the look of the product and the ease of installation. I followed the directions to a ""T."" after a few weeks I notice a few of the edges lifting slightly. I've been pushing these edges back in. Its not a huge issue, but enough that I notice it."
24,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:They should add a “maybe” button on here. I got a sample of this to test as a backsplash and I’m SO glad I tested it first. I could see this product working well in very low traffic, well lit areas. It sticks firmly, is super easy to apply and it really is gorgeous. However, I cannot stress enough that this is NOT appropriate for a backsplash. I tried the 511 Impregnator sealant that many people recommended for this product and even some harder core ones. None of them protected this from stains or flaking. I didn’t try Polyurethane. Maybe multiple coats of that could work, but you’d certainly have to be cautious sanding this stuff between coats. Also be aware that any sealant that provides even a little stability darkens the color significantly. This looks fabulous on Pinterest but simply won’t hold up in a normal working kitchen."
25,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:They should add a “maybe” button on here. I got a sample of this to test as a backsplash and I’m SO glad I tested it first. I could see this product working well in very low traffic, well lit areas. It sticks firmly, is super easy to apply and it really is gorgeous. However, I cannot stress enough that this is NOT appropriate for a backsplash. I tried the 511 Impregnator sealant that many people recommended for this product and even some harder core ones. None of them protected this from stains or flaking. I didn’t try Polyurethane. Maybe multiple coats of that could work, but you’d certainly have to be cautious sanding this stuff between coats. Also be aware that any sealant that provides even a little stability darkens the color significantly. This looks fabulous ... MoreThey should add a “maybe” button on here. I got a sample of this to test as a backsplash and I’m SO glad I tested it first. I could see this product working well in very low traffic, well lit areas. It sticks firmly, is super easy to apply and it really is gorgeous. However, I cannot stress enough that this is NOT appropriate for a backsplash. I tried the 511 Impregnator sealant that many people recommended for this product and even some harder core ones. None of them protected this from stains or flaking. I didn’t try Polyurethane. Maybe multiple coats of that could work, but you’d certainly have to be cautious sanding this stuff between coats. Also be aware that any sealant that provides even a little stability darkens the color significantly. This looks fabulous on Pinterest but simply won’t hold up in a normal working kitchen. Less"
26,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This sample is a good size for visualizing the design. It's 1/8"" thick and feels like sturdy cardstock. It has random raised texture and does bend a bit between each stone row. The open spacing between rows is approx 1/32"". My sample surface has the feel of construction paper. The unaltered sample has soaked up water splashes and is now stained by vegetable oil (see pic). The product would need some sort of sealant applied over it to be functional (and cleanable). Perhaps if I can get a matte clear sealant, this would look fabulous!"
27,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:The medley slate is great quality. I did some research before my project and I can honestly say there is nothing else on the market right now that looks and feels like real stone grout. My biggest reserve to the product is that the stick part does not stick. I followed the instructions and they stuck at first, but after a week they started to peel and fall off. Now, I went thru previous reviews and saw the manufacturer has recommended this type of glue to apply. My question is, if your product was made correctly, why should I need glue when it is a peel and stick product? If your stick quality is what it should be for a peel and stick product, I should not need to buy glue. I spent $500 on this product and I would expect that the product should stay stuck properly ... MoreThe medley slate is great quality. I did some research before my project and I can honestly say there is nothing else on the market right now that looks and feels like real stone grout. My biggest reserve to the product is that the stick part does not stick. I followed the instructions and they stuck at first, but after a week they started to peel and fall off. Now, I went thru previous reviews and saw the manufacturer has recommended this type of glue to apply. My question is, if your product was made correctly, why should I need glue when it is a peel and stick product? If your stick quality is what it should be for a peel and stick product, I should not need to buy glue. I spent $500 on this product and I would expect that the product should stay stuck properly over time, especially since they started to feel off after 1 week of being put up. To fellow consumers looking at this product, the quality of the stone is superb, and I think second to none on the market. However, if you can find a product that is of similar quality to your liking, I would recommend that product over this one simply because this product does not stay attached to the wall like it should. Less"
28,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Well, it's pleasing to the eye. It's thin. From a distance, (like from another room) as in the photo it looks great. I thought it would be a stone composite, it seems to be a photo on thin material. I think not so much for a kitchen backsplash. If one reads the description from it's origin, China, it is described as a wall sticker. That is probably the truest description."
29,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:The medley slate is great quality. I did some research before my project and I can honestly say there is nothing else on the market right now that looks and feels like real stone grout. My biggest reserve to the product is that the stick part does not stick. I followed the instructions and they stuck at first, but after a week they started to peel and fall off. Now, I went thru previous reviews and saw the manufacturer has recommended this type of glue to apply. My question is, if your product was made correctly, why should I need glue when it is a peel and stick product? If your stick quality is what it should be for a peel and stick product, I should not need to buy glue. I spent $500 on this product and I would expect that the product should stay stuck properly over time, especially since they started to feel off after 1 week of being put up. To fellow consumers looking at this product, the quality of the stone is superb, and I think second to none on the market. However, if you can find a product that is of similar quality to your liking, I would recommend that product over this one simply because this product does not stay attached to the wall like it should."
30,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:They should add a “maybe” button on here. I got a sample of this to test as a backsplash and I’m SO glad I tested it first. I could see this product working well in very low traffic, well lit areas. It sticks firmly, is super easy to apply and it really is gorgeous. However, I cannot stress enough that this is NOT appropriate for a backsplash. I tried the 511 Impregnator sealant that many people recommended for this product and even some harder core ones. None of them protected this from stains or flaking. I didn’t try Polyurethane. Maybe multiple coats of that could work, but you’d certainly have to be cautious sanding this stuff between coats. Also be aware that any sealant that provides even a little stability darkens the color significantly. This looks fabulous on ... MoreThey should add a “maybe” button on here. I got a sample of this to test as a backsplash and I’m SO glad I tested it first. I could see this product working well in very low traffic, well lit areas. It sticks firmly, is super easy to apply and it really is gorgeous. However, I cannot stress enough that this is NOT appropriate for a backsplash. I tried the 511 Impregnator sealant that many people recommended for this product and even some harder core ones. None of them protected this from stains or flaking. I didn’t try Polyurethane. Maybe multiple coats of that could work, but you’d certainly have to be cautious sanding this stuff between coats. Also be aware that any sealant that provides even a little stability darkens the color significantly. This looks fabulous on Pinterest but simply won’t hold up in a normal working kitchen. Less"
31,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:easy install but the color is off. weathered quartz has a silverish tone not tanish.
32,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This product was exactly what I was looking for as a back splash in kitchen and a facade for my plain looking fireplace. I have almost completed putting on the fireplace facade and the product is easy to cut (with special scissors), the instructions are easy to follow and looks great so far! Since it's made from real stone, it looks nice in my opinion. Some of the pieces are more ""textured"" than others, so you might want to try and select those before purchase. This is an easy way for a not-so-much DYI person like myself. When the project gets finished I'll try and post pics. This product is not cheap! However, it perfectly fit my own needs for smaller spaces wanting a spruced up look without having to hire a professional and wait until they were available to ... MoreThis product was exactly what I was looking for as a back splash in kitchen and a facade for my plain looking fireplace. I have almost completed putting on the fireplace facade and the product is easy to cut (with special scissors), the instructions are easy to follow and looks great so far! Since it's made from real stone, it looks nice in my opinion. Some of the pieces are more ""textured"" than others, so you might want to try and select those before purchase. This is an easy way for a not-so-much DYI person like myself. When the project gets finished I'll try and post pics. This product is not cheap! However, it perfectly fit my own needs for smaller spaces wanting a spruced up look without having to hire a professional and wait until they were available to install other stone or tile products. The other thing I wish is the packaging needs to tell consumers on the ""outside"" there may be an additional adhesive needed on textured walls. So, if you decide to purchase this product, I suggest to get some commercial grade adhesive glue to be safe. Less"
33,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I used these to make a kitchen sink back splash and am happy with the result
34,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will ... MoreI found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show through.) After the paint dried we peeled off the paper backing and applied liquid nails and then stuck the tile to the painted plywood. Eventually we switched the white outlets out for gray ones. I’m pleased with the finished product. We used a circular saw to cut the tile, which is somewhat fragile and does crumble a bit. The project took a couple hours and looks great! Less"
35,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Your product is easy to install, and everyone who has seen the backsplash likes the appearance, the only issue I had was the adhesive backing, it did not adhere to the wall. I cleaned the wall one day prior to installing the Backsplash as per product recommendation, to make sure the wall was dry. Two days after installing tiles the tiles started falling of the wall. I went back to Home Depot and got the recommended adhesive. I have had to reinstall about 75% of the tiles. If the product had suggested using adhesive I would have used it and saved myself a lot of extra work."
36,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:In short, this is an amazing product. It looks great, is very easy to install, and is one of those immediate gratification home improvement products. I cut it using both tin snips where needed for boxing around outlets, and a table saw for long straight cuts. It sticks so well that during installation, once it sticks, it can’t be adjusted or moved, so there’s one chance to get it right. It may be a bit expensive, but compared to buying and installing granite, it’s very reasonably priced, and installation is very quick and easy."
37,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show through.) After the paint dried we peeled off the paper backing and applied liquid nails and then stuck the tile to the painted plywood. Eventually we switched the white outlets out for gray ones. I’m pleased with the finished product. We used a circular saw to cut the tile, which is somewhat fragile and does crumble a bit. The project took a couple hours and looks great!"
38,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Ordered one sample to decide whether or not to use it. It looks and feels great and I'm sure it will be a lot easier and quicker to install than traditional tile. I'd be inclined to use an electric/battery multi-tool to cut it rather than shears, as after a few tile cuts I could see ones hands getting tired/cramped unless scissors being used had a soft grip. Still haven't decided though, due to other decor issues not the product itself."
39,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show ... MoreI found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show through.) After the paint dried we peeled off the paper backing and applied liquid nails and then stuck the tile to the painted plywood. Eventually we switched the white outlets out for gray ones. I’m pleased with the finished product. We used a circular saw to cut the tile, which is somewhat fragile and does crumble a bit. The project took a couple hours and looks great! Less"
40,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Put this up as a backsplash in a new construction kitchen and am quite happy as is wife.This product just does what it says. Not quite a nice as tile but very close. Twenty foot byfourteen inches took about 4 hours. This included 8 outlets/switches which took majority ofeffort.While hand tools may work you'd have to be pretty skilled with them to match the precision ofpower tools. Used a chop saw, table saw, fine tip Sharpie and Dremel. The dremel allows easy precise cuts for outlets etc. If you have sharp (carbide) blades your cuts will be almost as clean as factory ones. CUT SLOWLY. Wear safety goggles and a dust mask. Shop vac hooked up to exhaust ports on power tools is good idea. Primed sheetrock with Killz and only used Locktite PL for small ... MorePut this up as a backsplash in a new construction kitchen and am quite happy as is wife.This product just does what it says. Not quite a nice as tile but very close. Twenty foot byfourteen inches took about 4 hours. This included 8 outlets/switches which took majority ofeffort.While hand tools may work you'd have to be pretty skilled with them to match the precision ofpower tools. Used a chop saw, table saw, fine tip Sharpie and Dremel. The dremel allows easy precise cuts for outlets etc. If you have sharp (carbide) blades your cuts will be almost as clean as factory ones. CUT SLOWLY. Wear safety goggles and a dust mask. Shop vac hooked up to exhaust ports on power tools is good idea. Primed sheetrock with Killz and only used Locktite PL for small pieces.Cool product! Less"
41,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:As you can see there is noticeable difference after using the sealer. The lighter shades are before sealer.
42,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Installed this over existing ceramic tile / fireplace surround. It looks awesome! Very pretty and a much needed update to our old tile. Made a dramatic difference in the look of our fireplace.The tiles do stick really well but a few have come up at edges and/or bowed a bit in the middle (installed about 2 months ago); but they are easy enough to press back down and none have fallen completely off or seem like they will. It's more of a small annoyance than anything. I'm hoping that by staying on top of pressing them back down as soon as I notice it, will help seat them and it will stop. However, in hindsight, I wished I would have gone ahead and used an adhesive as well so I never even had to think about them again (I did clean the existing tile and put a prep/bond ... MoreInstalled this over existing ceramic tile / fireplace surround. It looks awesome! Very pretty and a much needed update to our old tile. Made a dramatic difference in the look of our fireplace.The tiles do stick really well but a few have come up at edges and/or bowed a bit in the middle (installed about 2 months ago); but they are easy enough to press back down and none have fallen completely off or seem like they will. It's more of a small annoyance than anything. I'm hoping that by staying on top of pressing them back down as soon as I notice it, will help seat them and it will stop. However, in hindsight, I wished I would have gone ahead and used an adhesive as well so I never even had to think about them again (I did clean the existing tile and put a prep/bond primer on it before installing).You do have to be very careful when placing them, you can't easily pull them up and reposition them. Less"
43,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This tile was so easy to put on and it sticks really good! Its beautiful and was surprisingly easy to fit and cut. I used a sheet metal sheers but it wasn't one of the big bulky tools. More like a scissors really. It's real stone but cut really thin so it's lightweight but looks great. I'm impressed by how easy it was to put up and even though I used it in my RV (because its so light weight and flexible so the grout doesn't crack like heavy ceramic tile might when being bounced around on the road) it could easily be used in a house successfully. You can't tell its not expensive ceramic tile or that it wasn't put up by a professional. First time I've ever used something like this and it turned out pretty good (imho).
44,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Really impressed by the end result of this product. I was thinking of getting ceramic or porcelain tile for my kitchen backsplash, but that would involve hiring a tile person, which I knew would drive up the cost. I stumbled upon this product in the store, and saw that ""Medley Slate"" was pretty much an exact match for my color scheme. So I gave it a shot.I bought some utility snips for cutting, but that was about the only other purchase I had to make to use this product. I did not use any other adhesive besides what came already on the tiles.I'm an OCD engineer, so of course I laid out the whole project before starting. Reading other reviews, I didn't want to mess it up. The glue on these things is unforgiving to say the least. But no worries, I was able to complete the ... MoreReally impressed by the end result of this product. I was thinking of getting ceramic or porcelain tile for my kitchen backsplash, but that would involve hiring a tile person, which I knew would drive up the cost. I stumbled upon this product in the store, and saw that ""Medley Slate"" was pretty much an exact match for my color scheme. So I gave it a shot.I bought some utility snips for cutting, but that was about the only other purchase I had to make to use this product. I did not use any other adhesive besides what came already on the tiles.I'm an OCD engineer, so of course I laid out the whole project before starting. Reading other reviews, I didn't want to mess it up. The glue on these things is unforgiving to say the least. But no worries, I was able to complete the backsplash in about 2.5 to 3 hours with no major mistakes. Cutting was fairly simple using the snips; I had to go around 3 outlets. My project was 18 sq ft to give you an idea of the scope.All in all, this is a cool product if you're willing to take the effort to do it methodically and carefully. You'll be pleased with the results. Less"
45,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I absolutely LOVE these tiles! They add texture & dimension to walls & look great! The feel of stone is wonderful. They are unique and not like what ""everyone else"" has. Even within your own home, you can change the look by how and where you place tiles. Great for an accent wall or in combination with a mantle, around a wall TV or with any other feature you want to have stand out!"
46,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I love this product. It's easy to cut and install with the large scissor type shears.It's amazing to be able to upgrade a space in just a weekend. I painted the wall with Behr premium smokey mountain matte prior to placement in case I had small gaps due to the natural stone texture and any small gaps I may have caused due to not being a pro. They would be less obvious.My space upgrades are beautiful. I used it above my kitchen cabinets and to and interest to my entry foyer
